#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
T     -1  -13   -2   -2   -2   -1   -4   -1   -2   -2   -2    0   -2   -1   -2    0    4    0   -5   -2   -1 
V     -3  -11   -6   -5   -1   -4   -4    2   -4    0   -1   -5   -4   -4   -5   -5   -3    3   -4   -2    1 
W     -3  -13   -6   -5    2   -4   -2   -2   -6   -1   -1  -11  -11   -5   -5   -6   -3   -3   14    2   -7 
Y     -4   -4   -7   -6    5   -5    2   -1   -5   -1   -1   -4   -5   -4   -3   -4   -2   -2    4    8   -1 
J     -1    3   -4   -6    1    1   -6    0   -4   -1   -3  -10   -4   -2   -4   -2   -9    1   -6   -1   12 
U     -5   17   -6   -8   -2   -3   -8   -4   -8   -4   -7   -7   -9   -5   -7   -5  -13   -3   -9   -5    7 
>HaSON 8
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -5   -3   -3   -3    1   -1   -2   -2   -2   -1   -5   -1   -1   -2    2    0    0   -4   -3    2 
C     -4   19  -12  -10   -7   -9  -10  -10  -12   -7   -6  -10  -17  -10   -9  -10   -1   -8   -6   -6   -1 
D     -4   -9   10    1   -7   -4   -3   -8   -2   -8   -8    0   -3   -1   -3   -2   -3   -7   -7   -6   -5 
E     -3   -8    0    9   -7   -4   -1   -7   -1   -6   -3   -4   -3    3   -2   -2   -3   -6   -6   -6   -8 
F     -3   -7   -5   -4   10   -6   -1    1   -5    2    2   -5   -4   -2   -5   -6   -4    0    4    4    0 
G     -1   -8   -4   -5   -9    8   -5   -8   -5   -8   -6   -6   -5   -6   -4   -2   -4   -7   -8   -8   -3 
H     -3   -7   -3    2   -2   -5   13   -6   -2   -5   -3    1   -3    3    0   -4   -4   -5   -3    0   -2 
I     -1  -10   -6   -3    1   -6   -5    7   -3    3    2   -5   -2   -4   -4   -7   -2    4   -3   -1    0 
K     -3  -10   -5   -2   -7   -4   -2   -6    9   -5   -3   -4   -4   -2    2   -5   -3   -6   -7   -6   -6 
L     -1   -7   -7   -7    3   -6   -4    4   -3    7    4   -3   -4   -4   -3   -6   -3    2   -1    1    1 
M      0   -9  -11   -5    2   -5   -2    3   -2    5   10   -3   -3    0   -3   -3    0    2   -1    1    1 
N     -4   -6   -1   -2   -7   -4    1   -7   -2   -6   -5    9   -3    0   -2    4   -1   -6   -7   -5   -1 
P     -4  -15   -7   -6   -7   -5   -2   -6   -4   -6   -6   -5   11   -3   -5   -2   -4   -5   -9   -6   -6 
Q     -3   -6   -4    0   -6   -3    0   -5    1   -5    0   -2   -3    9    1   -3   -3   -5   -5   -5   -4 
R     -3   -8   -2   -2   -7   -4   -1   -6    4   -5   -4   -2   -4   -1   10   -3   -4   -6   -5   -5   -5 
S      0   -8   -3   -3   -6   -1   -3   -6   -3   -6   -4    3   -2   -2   -3    7    3   -4   -7   -6   -1 
T     -1   -9   -2    0   -5   -3   -3   -3   -3   -4   -2   -1   -3   -3   -2    2    7   -1   -8   -5    1 
V      1   -9   -5   -5    0   -5   -4    4   -4    2    1   -2   -3   -2   -4   -5    0    6   -4    0    3 
W     -4  -10   -9    0    4   -6   -3   -3   -6   -1   -1  -10   -7   -1   -5   -8   -7   -4   16    2   -8 
Y     -3   -5   -5   -4    4   -6    2   -2   -3   -1    0   -4   -4   -1   -3   -4   -4   -2    2   11   -2 
J      4    1   -8  -10    1    0    2    1   -4    1    0    5   -2   -3   -5   -2    1    3   -5   -1   14 
U      0   17  -10  -10   -3   -4   -2   -3   -8   -2   -3    1   -6   -6   -7   -5    0   -1   -5   -4    9 
>HaSOn 9
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -5   -1    0   -3    1   -4   -2   -4   -2   -1   -2   -1   -1   -3    4    2    0   -5   -1    3 
C     -4   19  -11   -9   -6   -8   -3  -10  -16   -7   -8  -11  -13  -10  -14   -7  -12   -8   -8   -9    0 
D     -3   -8    9    1   -7   -3   -5   -7   -7   -7   -8    0   -3   -2   -6   -2   -4   -7   -6   -8   -7 
E     -2   -8    0    8   -6   -3   -4   -6   -5   -6   -4   -1   -2    1   -4   -4   -4   -5   -2   -8   -5 
F     -3   -6   -5   -7   10   -6   -2    1  -10    2    1   -5   -4   -6   -7   -4   -3    0    3    5   -1 
G     -1   -8   -5   -4   -8    8   -7   -8   -9   -7   -6   -6   -4   -4   -4    0   -2   -7   -9   -6   -4 
